store_lats,store_lngs,store_sizes,store_products,store_categories,days_to_expiry,quantity_available,original_prices,discounted_prices,is_available,store_names,store_addresses
38.930205375500556,-77.03827261674164,medium,chicken drumstick,meat,1,103,0.42,0.252,0,El Progreso Market,3158 MOUNT PLEASANT STREET NW
38.92198694131714,-77.03844186238213,medium,carrot,produce,5,156,0.63,0.54,1,Harris Teeter,1631 KALORAMA ROAD NW
38.95797669309216,-77.00214446812893,medium,mustard,sauce/condiments,2,7,4.26,2.272,0,Walmart Supercenter,310 RIGGS ROAD NE
38.94450677593536,-77.06317251045735,medium,ketchup,sauce/condiments,3,208,5.41,2.9755000000000003,1,Giant,4303 CONNECTICUT AVENUE NW
38.87622430239724,-77.00009655130434,medium,onion,produce,5,172,0.47,0.40285714285714286,1,Harris Teeter,401 M St SE
38.93845637077938,-77.02485883166267,large,rice,grain,168,1639,0.49,0.4736666666666667,1,Safeway,3830 GEORGIA AVENUE NW
38.920762105757646,-77.03208536793325,medium,black beans,canned,77,293,6.92,4.189917808219178,1,Streets Market,2400 14TH STREET NW
38.912005027447265,-77.00400185770731,medium,corn,canned,77,182,5.78,3.4996712328767123,1,Union Kitchen Grocery,1625 ECKINGTON PLACE NE
38.929308227973394,-77.03298601467988,medium,mustard,sauce/condiments,22,159,4.26,3.6919999999999997,1,Target,3100 14TH STREET NW
38.91610088111982,-77.03224561287333,medium,pork bacon,meat,3,208,3.62,2.8960000000000004,1,Trader Joe's,1914 14TH STREET NW
38.8972029100673,-77.00221180589779,medium,soy sauce,sauce/condiments,29,40,13.05,12.832500000000001,1,Union Kitchen Grocery,538 3RD STREET NE
38.91744140841088,-77.09596212516874,small,corn meal,grain,72,95,0.46,0.322,1,Safeway,4865 MACARTHUR BOULEVARD NW
38.95630298829647,-77.08386082768219,large,water,beverages,102,533,0.32,0.25066666666666665,1,Rodman’s ,5100 WISCONSIN AVENUE NW
38.91731297728028,-77.06868826971429,medium,spaghetti,grain,68,148,1.15,0.7922222222222222,1,Trader Joe's,2101 WISCONSIN AVENUE NW #A
38.91610088111982,-77.03224561287333,small,mustard,sauce/condiments,9,96,4.26,2.769,1,Trader Joe's,1914 14TH STREET NW
38.91731297728028,-77.06868826971429,large,lettuce,produce,3,1379,1.64,1.1714285714285715,1,Trader Joe's,2101 WISCONSIN AVENUE NW #A
38.93213727601643,-76.99587125545985,medium,cucumber,produce,3,430,0.6,0.42857142857142855,1,Trader Joe's,701 MONROE STREET NE
38.88474156067011,-76.9955259196549,medium,cucumber,produce,3,113,0.6,0.42857142857142855,0,Trader Joe's,750 PENNSYLVANIA AVENUE SE
38.92198694131714,-77.03844186238213,medium,orange juice,beverages,65,124,4.04,2.7494444444444444,0,Harris Teeter,1631 KALORAMA ROAD NW
38.90949013493613,-77.04836546433359,medium,corn,canned,118,11,5.78,3.8243013698630137,0,Metro Supermarket,2130 P STREET NW #5
38.88354906285551,-76.98655150803029,small,water,beverages,75,11,0.32,0.22666666666666668,1,Safeway,415 14TH STREET SE
38.93944688026949,-77.0330336144517,medium,tuna,canned,165,183,13.4,9.728767123287671,1,Morazan Grocery Store,3928 14TH STREET NW
38.929450971217975,-76.97481915156214,medium,butter,dairy,7,263,3.26,2.445,1,Good Food Markets,2006 RHODE ISLAND AVENUE NE
38.929450971217975,-76.97481915156214,medium,powdered milk,dairy,9,102,2.94,2.415,1,Good Food Markets,2006 RHODE ISLAND AVENUE NE
38.967771235004186,-77.02779827340463,medium,rice,grain,126,461,0.49,0.4165,1,Jocelyn’s Market ,6404 GEORGIA AVENUE NW
38.929450971217975,-76.97481915156214,medium,powdered milk,dairy,5,402,2.94,1.995,1,Good Food Markets,2006 RHODE ISLAND AVENUE NE
38.91731297728028,-77.06868826971429,medium,onion,produce,1,280,0.47,0.2685714285714285,1,Trader Joe's,2101 WISCONSIN AVENUE NW #A
38.93585941366032,-77.0580161995249,small,eggs,dairy,2,48,3.96,2.262857142857143,1,Target ,3505 CONNECTICUT AVENUE NW
38.96460071978334,-77.07490966531478,small,apple juice,beverages,98,29,2.32,1.7915555555555553,1,Safeway,5545 CONNECTICUT AVENUE NW
38.98346370182273,-77.02606575460844,medium,american cheese,dairy,3,471,1.96,1.19,1,International Progresso Market,7719 GEORGIA AVENUE NW
38.95630298829647,-77.08386082768219,small,mayonnaise,sauce/condiments,24,6,13.08,11.772,1,Rodman’s ,5100 WISCONSIN AVENUE NW
38.95797669309216,-77.00214446812893,medium,powdered milk,dairy,10,288,2.94,2.52,1,Walmart Supercenter,310 RIGGS ROAD NE
38.92085095656864,-76.95088115617462,medium,eggs,dairy,7,474,3.96,2.9699999999999998,1,Costco Wholesale,2441 MARKET STREET NE
38.93082173909143,-77.03192369024724,medium,chicken breast,meat,2,122,0.97,0.6789999999999999,1,Giant,1345 PARK ROAD NW
38.97610115429368,-77.02816620326477,large,green pepper,produce,6,1093,1.24,1.1514285714285715,1,Whole Foods Market,7130 12TH STREET NW
38.935166426639285,-77.05779049421417,small,butter,dairy,1,83,3.26,1.7464285714285712,1,Yes! Organic,3425 CONNECTICUT AVENUE NW
38.90091857333817,-77.04906991376863,small,black beans,canned,11,72,6.92,3.5642739726027397,1,Whole Foods Market,2201 I STREET NW
38.90949910711764,-77.03356774007037,medium,flour,grain,18,290,0.44,0.24200000000000002,1,Whole Foods Market,1440 P STREET NW 
38.912057515959056,-77.03895582799446,medium,elbow macaroni,grain,8,425,1.09,0.5692222222222223,1,Safeway,1701 CORCORAN STREET NW
38.92093428097332,-77.07161523313137,large,flour,grain,148,1031,0.44,0.4008888888888889,1,Whole Foods Market,2323 WISCONSIN AVENUE NW
38.93845637077938,-77.02485883166267,large,diced tomato,canned,1,1021,4.77,2.3915342465753424,1,Safeway,3830 GEORGIA AVENUE NW
38.905007945629904,-77.0290444232359,medium,soy sauce,sauce/condiments,26,114,13.05,12.180000000000001,1,Streets Market,1221 MASSACHUSSETTS AVENUE NW
38.930205375500556,-77.03827261674164,small,cucumber,produce,4,39,0.6,0.4714285714285714,1,El Progreso Market,3158 MOUNT PLEASANT STREET NW
38.90040433820318,-77.01198706322644,medium,peanut butter,canned,245,154,8.91,7.445342465753425,1,Walmart Supercenter,99 H STREET NW
38.904767550491435,-77.06515039926713,small,diced tomato,canned,4,9,4.77,2.4111369863013694,1,Dean & DeLuca,3276 M STREET NW
38.901569290610794,-76.97803182686681,medium,corn meal,grain,91,306,0.46,0.3462777777777778,1,Aldi,901 17TH STREET NE
38.929308227973394,-77.03298601467988,medium,pork bacon,meat,1,417,3.62,2.172,1,Target,3100 14TH STREET NW
38.91320970325574,-77.03174182533907,medium,american cheese,dairy,9,479,1.96,1.6099999999999999,1,AmazonFresh,1733 14TH STREET NW
38.98346370182273,-77.02606575460844,small,onion,produce,4,6,0.47,0.3692857142857143,1,International Progresso Market,7719 GEORGIA AVENUE NW
38.90091857333817,-77.04906991376863,medium,black beans,canned,119,252,6.92,4.588054794520548,1,Whole Foods Market,2201 I STREET NW
38.912057515959056,-77.03895582799446,small,corn,canned,150,7,5.78,4.077671232876712,1,Safeway,1701 CORCORAN STREET NW
38.97610115429368,-77.02816620326477,medium,flour,grain,15,368,0.44,0.2383333333333333,1,Whole Foods Market,7130 12TH STREET NW
38.93213727601643,-76.99587125545985,medium,coffee,beverages,70,426,14.42,10.01388888888889,1,Trader Joe's,701 MONROE STREET NE
38.94103647207613,-77.02552897075412,large,rice,grain,177,1882,0.49,0.48591666666666666,1,Yes! Organic,4100 GEORGIA AVENUE NW
38.94045114501989,-77.07726641003441,small,pork bacon,meat,3,54,3.62,2.8960000000000004,1,Wegmans,41 RIDGE SQUARE NW
38.90040433820318,-77.01198706322644,large,onion,produce,5,703,0.47,0.40285714285714286,1,Walmart Supercenter,99 H STREET NW
38.98346370182273,-77.02606575460844,large,spaghetti,grain,154,1169,1.15,1.0669444444444445,1,International Progresso Market,7719 GEORGIA AVENUE NW
38.906023064916525,-77.0054945492568,small,coffee,beverages,99,7,14.42,11.1755,1,Harris Teeter,1201 1ST STREET NE
38.91626798854291,-76.98201281403125,medium,onion,produce,5,178,0.47,0.40285714285714286,1,Target ,1515 NEW YORK AVENUE NE
38.90949910711764,-77.03356774007037,small,powdered milk,dairy,1,30,2.94,1.575,1,Whole Foods Market,1440 P STREET NW 
38.901569290610794,-76.97803182686681,medium,mustard,sauce/condiments,27,440,4.26,4.047,1,Aldi,901 17TH STREET NE
38.87622430239724,-77.00009655130434,small,apple juice,beverages,20,88,2.32,1.2888888888888888,1,Harris Teeter,401 M St SE
38.880209661423635,-76.98662497531038,small,cucumber,produce,6,6,0.6,0.5571428571428572,1,Harris Teeter,1350 POTOMAC AVENUE SE
38.9485365777595,-77.08055249629902,medium,water,beverages,17,372,0.32,0.17511111111111113,1,Target ,4500 WISCONSIN AVENUE NW
38.908770717071064,-77.02212530524505,medium,corn meal,grain,129,380,0.46,0.39483333333333337,1,Giant,1400 7TH STREET NW
38.88354906285551,-76.98655150803029,small,soy sauce,sauce/condiments,20,9,13.05,10.875,1,Safeway,415 14TH STREET SE
38.91612588552247,-77.06756091263732,medium,mayonnaise,sauce/condiments,9,202,13.08,8.502,1,Safeway,1855 WISCONSIN AVENUE NW
38.88354906285551,-76.98655150803029,medium,eggs,dairy,11,185,3.96,3.5357142857142856,1,Safeway,415 14TH STREET SE
38.93213727601643,-76.99587125545985,medium,black beans,canned,37,353,6.92,3.8107397260273967,1,Trader Joe's,701 MONROE STREET NE
38.91320970325574,-77.03174182533907,small,chicken breast,meat,3,16,0.97,0.776,0,AmazonFresh,1733 14TH STREET NW
38.90040448832144,-76.99814738644127,small,ranch dressing,sauce/condiments,26,26,10.75,10.033333333333333,1,Whole Foods Market,600 H STREET NE
38.90949910711764,-77.03356774007037,medium,onion,produce,4,104,0.47,0.3692857142857143,1,Whole Foods Market,1440 P STREET NW 
38.912057515959056,-77.03895582799446,medium,american cheese,dairy,11,473,1.96,1.7499999999999998,1,Safeway,1701 CORCORAN STREET NW
38.912057515959056,-77.03895582799446,small,ranch dressing,sauce/condiments,12,3,10.75,7.5249999999999995,0,Safeway,1701 CORCORAN STREET NW
38.90708611298733,-77.02372205751965,large,soy sauce,sauce/condiments,6,871,13.05,7.83,1,Union Kitchen Grocery,1251 9TH STREET NW
38.94103647207613,-77.02552897075412,large,coffee,beverages,34,644,14.42,8.57188888888889,1,Yes! Organic,4100 GEORGIA AVENUE NW
38.93082173909143,-77.03192369024724,medium,diced tomato,canned,101,37,4.77,3.0449589041095884,0,Giant,1345 PARK ROAD NW
38.906023064916525,-77.0054945492568,medium,cucumber,produce,1,157,0.6,0.3428571428571428,1,Harris Teeter,1201 1ST STREET NE
38.91610088111982,-77.03224561287333,medium,tuna,canned,107,114,13.4,8.664109589041097,0,Trader Joe's,1914 14TH STREET NW
38.91975734622245,-77.02486798416663,small,powdered milk,dairy,3,66,2.94,1.785,1,Whole Foods Market,967 FLORIDA AVENUE NW
38.90057508208876,-76.97977231662443,medium,corn meal,grain,10,48,0.46,0.2427777777777778,0,Safeway,1601 MARYLAND AVENUE NE
38.90349680089168,-77.01835490587573,small,soy sauce,sauce/condiments,4,87,13.05,7.3950000000000005,1,Safeway,490 L STREET NW
38.95135804157581,-77.0123928349029,medium,carrot,produce,5,200,0.63,0.54,1,Avenue Supermarket,5010 1ST STREET NW
38.95797669309216,-77.00214446812893,large,mayonnaise,sauce/condiments,27,60,13.08,12.426,0,Walmart Supercenter,310 RIGGS ROAD NE
38.880209661423635,-76.98662497531038,small,ketchup,sauce/condiments,24,31,5.41,4.869000000000001,1,Harris Teeter,1350 POTOMAC AVENUE SE
38.9485365777595,-77.08055249629902,small,tuna,canned,131,31,13.4,9.104657534246575,1,Target ,4500 WISCONSIN AVENUE NW
38.90546255831053,-77.00727113699224,small,apple juice,beverages,177,81,2.32,2.3006666666666664,1,Streets Market,51 M STREET NE 
38.90040433820318,-77.01198706322644,medium,apple juice,beverages,86,158,2.32,1.714222222222222,1,Walmart Supercenter,99 H STREET NW
38.94572155159999,-77.09575911175843,large,spaghetti,grain,34,1842,1.15,0.6836111111111111,1,Wagshal’s Market ,4845 MASSACHUSETTS AVENUE NW
